"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-01","0.00","P,,0,0800","0.0","P,,0","48",",,0","37",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-02","0.00","P,,0,0800","0.0","P,,0","58",",,0","42",",,0","47",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-03","0.00","P,,0,0800","0.0","P,,0","64",",,0","33",",,0","41",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-04","0.00","P,,0,0800","0.0","P,,0","50",",,0","34",",,0","42",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-05","0.00","P,,0,0800","0.0","P,,0","54",",,0","38",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-06","0.00","T,,0,0800","0.0","P,,0","57",",,0","44",",,0","51",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-07","0.00","P,,0,0800","0.0","P,,0","70",",,0","51",",,0","52",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-08","0.00","P,,0,0800","0.0","P,,0","61",",,0","34",",,0","50",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-09","0.00","P,,0,0800","0.0","P,,0","63",",,0","48",",,0","61",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-10","0.00","P,,0,0800","0.0","P,,0","79",",,0","61",",,0","68",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-11","0.00","P,,0,0800","0.0","P,,0","77",",,0","50",",,0","64",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-12","0.02",",,0,0800","0.0","P,,0","86",",,0","52",",,0","53",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-13","0.00","P,,0,0800","0.0","P,,0","60",",,0","36",",,0","46",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-14","0.00","P,,0,0800","0.0","P,,0","71",",,0","41",",,0","56",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-15","0.36",",,0,0800","0.0","P,,0","82",",,0","56",",,0","59",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-16","0.00","P,,0,0800","0.0","P,,0","60",",,0","36",",,0","46",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-17","0.00","P,,0,0800","0.0","P,,0","70",",,0","46",",,0","68",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-18","0.00","P,,0,0800","0.0","P,,0","83",",,0","49",",,0","52",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-19","0.14",",,0,0800","0.0","P,,0","61",",,0","49",",,0","52",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-20","0.02",",,0,0800","0.0","P,,0","61",",,0","48",",,0","49",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-21","0.00","P,,0,0800","0.0","P,,0","62",",,0","49",",,0","58",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-22","0.00","P,,0,0800","0.0","P,,0","76",",,0","58",",,0","66",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-23","0.28",",,0,0800","0.0","P,,0","84",",,0","57",",,0","63",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-24","0.00","P,,0,0800","0.0","P,,0","81",",,0","50",",,0","51",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-25","0.00","P,,0,0800","0.0","P,,0","59",",,0","50",",,0","54",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-26","0.00","P,,0,0800","0.0","P,,0","68",",,0","49",",,0","61",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-27","0.00","P,,0,0800","0.0","P,,0","72",",,0","58",",,0","63",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-28","0.01",",,0,0800","0.0","P,,0","82",",,0","62",",,0","77",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-29","0.00","P,,0,0800","0.0","P,,0","89",",,0","64",",,0","78",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-30","0.00","P,,0,0800","0.0","P,,0","90",",,0","72",",,0","78",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-05-31","0.00","P,,0,0800","0.0","P,,0","92",",,0","67",",,0","71",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-01","0.00","P,,0,0800","0.0","P,,0","80",",,0","65",",,0","75",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-02","0.92",",,0,0800","0.0","P,,0","87",",,0","63",",,0","65",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-03","0.00","P,,0,0800","0.0","P,,0","80",",,0","65",",,0","70",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-04","0.66",",,0,0800","0.0","P,,0","79",",,0","61",",,0","64",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-05","0.07",",,0,0800","0.0","P,,0","74",",,0","50",",,0","60",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-06","0.00","P,,0,0800","0.0","P,,0","74",",,0","50",",,0","57",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-07","0.15",",,0,0800","0.0","P,,0","67",",,0","51",",,0","59",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-08","0.28",",,0,0800","0.0","P,,0","76",",,0","56",",,0","74",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-09","0.08",",,0,0800","0.0","P,,0","80",",,0","57",",,0","57",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-10","0.05",",,0,0800","0.0","P,,0","61",",,0","49",",,0","54",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-11","0.00","P,,0,0800","0.0","P,,0","68",",,0","46",",,0","62",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-12","0.22",",,0,0800","0.0","P,,0","73",",,0","60",",,0","67",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-13","0.42",",,0,0800","0.0","P,,0","79",",,0","61",",,0","70",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-14","0.00","P,,0,0800","0.0","P,,0","77",",,0","58",",,0","66",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-15","0.00","P,,0,0800","0.0","P,,0","87",",,0","66",",,0","73",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-16","0.00","P,,0,0800","0.0","P,,0","82",",,0","58",",,0","67",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-17","0.00","P,,0,0800","0.0","P,,0","84",",,0","51",",,0","64",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-18","0.00","P,,0,0800","0.0","P,,0","75",",,0","50",",,0","63",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-19","0.00","P,,0,0800","0.0","P,,0","83",",,0","57",",,0","68",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-20","0.00","P,,0,0800","0.0","P,,0","89",",,0","66",",,0","68",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-21","0.01",",,0,0800","0.0","P,,0","77",",,0","61",",,0","67",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-22","0.75",",,0,0800","0.0","P,,0","82",",,0","67",",,0","70",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-23","1.96",",,0,0800","0.0","P,,0","73",",,0","65",",,0","65",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-06-24","0.01",",,0,0800","0.0","P,,0","79",",,0","61",",,0","70",",,0,0800"
